Booking Date,Inv No,Customer No,Hotel ID ,Hotel Name ,State ,Email ID,GST No ,Voucher No.,Trip ID ,Check In ,Check Out,Commision Amount,CGST ,SGST ,IGST,Total GST,COMMISSION_SENT
19-12-2024,SINV11120014823,VCVEND35854,22222,Bon Voyagers,West Bengal,,19AAPFB5891D1Z2,CT_241108291569,2411082650,11-09-2024,11-10-2024,250.42,0,0,45.08,45.08,295.5
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241107187475,2.41108E+11,11-13-2024,11-17-2024,31635,"2,847.15",2847.15,0,5694.3,37329.3
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241101101597,2.41102E+11,11-01-2024,11-02-2024,1782,160.38,160.38,0,320.76,2102.76
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241107213144,2.41108E+11,11-17-2024,11-19-2024,6831,614.79,614.79,0,1229.58,8060.58
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241112105229,2.41113E+11,11-17-2024,11-20-2024,14246.44,"1,282.18",1282.18,0,2564.36,16810.8
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_24111691875,2.41116E+11,11-20-2024,11-21-2024,5486.25,493.76,493.76,0,987.52,6473.78
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_2411053140,2.41105E+11,11-16-2024,11-18-2024,7288.88,656,656,0,1312,8600.88
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241105112987,2.41105E+11,11-17-2024,11-18-2024,2970,267.3,267.3,0,534.6,3504.6
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241119199686,2.4112E+11,11-26-2024,11-28-2024,6982.5,628.43,628.43,0,1256.86,8239.35
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_24103195211,2.41032E+11,10-31-2024,11-01-2024,1782,160.38,160.38,0,320.76,2102.76
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_24103088562,2.41031E+11,10-30-2024,10-31-2024,1782,160.38,160.38,0,320.76,2102.76
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_24101913361,2.4102E+11,11-07-2024,11-08-2024,2828.25,254.54,254.54,0,509.08,3337.34
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241002486512,2.41003E+11,10-02-2024,10-03-2024,1919.36,172.74,172.74,0,345.48,2264.84
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241001162222,2.41002E+11,10-14-2024,10-16-2024,6274.13,564.67,564.67,0,1129.34,7403.47
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241004219505,2.41004E+11,10-13-2024,10-14-2024,1856.25,167.06,167.06,0,334.12,2190.38
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241004197285,2.41004E+11,10-08-2024,10-09-2024,2970,267.3,267.3,0,534.6,3504.6
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241010176792,2.4101E+11,10-15-2024,10-16-2024,3375,303.75,303.75,0,607.5,3982.5
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_24101557223,2.41015E+11,10-27-2024,10-30-2024,5643,507.87,507.87,0,1015.74,6658.74
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241023123357,2.41023E+11,10-23-2024,10-24-2024,3192.75,287.35,287.35,0,574.7,3767.45
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241025189450,2.41026E+11,10-26-2024,10-27-2024,2227.5,200.48,200.48,0,400.96,2628.45
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_241029144446,2.41029E+11,11-03-2024,11-04-2024,1822.5,164.03,164.03,0,328.06,2150.55
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240930267249,2.4093E+11,12-13-2024,12-14-2024,4515,406.35,406.35,0,812.7,5327.7
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240926718512,2.40926E+11,09-30-2024,10-01-2024,1687.5,151.88,151.88,0,303.76,1991.25
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240924230639,2.40925E+11,10-02-2024,10-04-2024,3900,351,351,0,702,4602
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240929153346,2.4093E+11,09-30-2024,10-01-2024,1856.25,167.06,167.06,0,334.12,2190.38
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240924112296,2.40925E+11,10-05-2024,10-06-2024,1856.25,167.06,167.06,0,334.12,2190.38
20-12-2024,SINV11120014826,VCVEND35855,23232,Orange Hospitality,Rajasthan,sunil@angelresort.in,08AAAAO6606P2Z4,CT_240925305248,2.40926E+11,10-12-2024,10-13-2024,2524.5,227.21,227.21,0,454.42,2978.91
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_241024285258,2.41025E+11,10-26-2024,10-27-2024,405.95,0,0,73.07,73.07,479.02
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_241007249684,24100714104,10-08-2024,10-11-2024,1077.13,0,0,193.88,193.88,1271.01
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_241003253917,2.41003E+11,10-03-2024,10-04-2024,405,0,0,72.9,72.9,477.9
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_240925342631,2.40926E+11,09-25-2024,09-26-2024,395.82,0,0,71.25,71.25,467.07
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_24092616057,2.40927E+11,09-26-2024,09-27-2024,415.53,0,0,74.8,74.8,490.33
20-12-2024,SINV11120014827,VCVEND35915,3973974,Sayaji Bhopal,Madhya Pradesh,am.revenue@sayajigroup.com,23AADCS2086A1ZV,CT_240928465176,2.40929E+11,09-28-2024,09-29-2024,384.75,0,0,69.26,69.26,454.01
